candidate_id	species	material_key	context_length	eligible_nonoverlap_windows	eligible	status
26cafc21598b8a1f	Glycine max	xudouno1	262144	3703	True	ELIGIBLE
29502e1062edfe93	Medicago truncatula	r108	1024	380797	True	ELIGIBLE
29502e1062edfe93	Medicago truncatula	r108	8192	47508	True	ELIGIBLE
29502e1062edfe93	Medicago truncatula	r108	32768	11796	True	ELIGIBLE
29502e1062edfe93	Medicago truncatula	r108	65536	5851	True	ELIGIBLE
29502e1062edfe93	Medicago truncatula	r108	131072	2872	True	ELIGIBLE
29502e1062edfe93	Medicago truncatula	r108	262144	1395	True	ELIGIBLE
2ca78acb5d4cc2d1	Vigna radiata	weilv9	1024	488414	True	ELIGIBLE
2ca78acb5d4cc2d1	Vigna radiata	weilv9	8192	61045	True	ELIGIBLE
2ca78acb5d4cc2d1	Vigna radiata	weilv9	32768	15254	True	ELIGIBLE
2ca78acb5d4cc2d1	Vigna radiata	weilv9	65536	7621	True	ELIGIBLE
2ca78acb5d4cc2d1	Vigna radiata	weilv9	131072	3807	True	ELIGIBLE
2ca78acb5d4cc2d1	Vigna radiata	weilv9	262144	1900	True	ELIGIBLE
351b9be376cc7087	Glycine max	pi398296	1024	975192	True	ELIGIBLE
351b9be376cc7087	Glycine max	pi398296	8192	121728	True	ELIGIBLE
351b9be376cc7087	Glycine max	pi398296	32768	30293	True	ELIGIBLE
351b9be376cc7087	Glycine max	pi398296	65536	15047	True	ELIGIBLE
351b9be376cc7087	Glycine max	pi398296	131072	7477	True	ELIGIBLE
351b9be376cc7087	Glycine max	pi398296	262144	3701	True	ELIGIBLE
3ac8f18302bca5ce	Glycine max	jack	1024	962130	True	ELIGIBLE
3ac8f18302bca5ce	Glycine max	jack	8192	120046	True	ELIGIBLE
3ac8f18302bca5ce	Glycine max	jack	32768	29825	True	ELIGIBLE
3ac8f18302bca5ce	Glycine max	jack	65536	14791	True	ELIGIBLE
3ac8f18302bca5ce	Glycine max	jack	131072	7271	True	ELIGIBLE
3ac8f18302bca5ce	Glycine max	jack	262144	3515	True	ELIGIBLE
3b922ebbef5d2263	Glycine max	harosoy	1024	966290	True	ELIGIBLE
3b922ebbef5d2263	Glycine max	harosoy	8192	120675	True	ELIGIBLE
3b922ebbef5d2263	Glycine max	harosoy	32768	30073	True	ELIGIBLE
3b922ebbef5d2263	Glycine max	harosoy	65536	14977	True	ELIGIBLE
3b922ebbef5d2263	Glycine max	harosoy	131072	7426	True	ELIGIBLE
3b922ebbef5d2263	Glycine max	harosoy	262144	3648	True	ELIGIBLE
3e10267861bb14ef	Glycine max	yudouno22	1024	966647	True	ELIGIBLE
3e10267861bb14ef	Glycine max	yudouno22	8192	120686	True	ELIGIBLE
3e10267861bb14ef	Glycine max	yudouno22	32768	30046	True	ELIGIBLE
3e10267861bb14ef	Glycine max	yudouno22	65536	14932	True	ELIGIBLE
3e10267861bb14ef	Glycine max	yudouno22	131072	7423	True	ELIGIBLE
3e10267861bb14ef	Glycine max	yudouno22	262144	3683	True	ELIGIBLE
3f2bcde8b6efba1f	Phaseolus vulgaris	5593	1024	555747	True	ELIGIBLE
3f2bcde8b6efba1f	Phaseolus vulgaris	5593	8192	69457	True	ELIGIBLE
3f2bcde8b6efba1f	Phaseolus vulgaris	5593	32768	17356	True	ELIGIBLE
3f2bcde8b6efba1f	Phaseolus vulgaris	5593	65536	8672	True	ELIGIBLE
3f2bcde8b6efba1f	Phaseolus vulgaris	5593	131072	4329	True	ELIGIBLE
3f2bcde8b6efba1f	Phaseolus vulgaris	5593	262144	2159	True	ELIGIBLE
539814fd4ada940f	Glycine max	fukuyutaka	1024	965113	True	ELIGIBLE
539814fd4ada940f	Glycine max	fukuyutaka	8192	120587	True	ELIGIBLE
539814fd4ada940f	Glycine max	fukuyutaka	32768	30102	True	ELIGIBLE
539814fd4ada940f	Glycine max	fukuyutaka	65536	15017	True	ELIGIBLE
539814fd4ada940f	Glycine max	fukuyutaka	131072	7471	True	ELIGIBLE
539814fd4ada940f	Glycine max	fukuyutaka	262144	3708	True	ELIGIBLE
56bc7c342b765b44	Glycine soja	pi549046	1024	959091	True	ELIGIBLE
56bc7c342b765b44	Glycine soja	pi549046	8192	119731	True	ELIGIBLE
56bc7c342b765b44	Glycine soja	pi549046	32768	29801	True	ELIGIBLE
56bc7c342b765b44	Glycine soja	pi549046	65536	14817	True	ELIGIBLE
56bc7c342b765b44	Glycine soja	pi549046	131072	7373	True	ELIGIBLE
56bc7c342b765b44	Glycine soja	pi549046	262144	3658	True	ELIGIBLE
5844dd514643bfc4	Glycine max	fiskebyiii	1024	954528	True	ELIGIBLE
5844dd514643bfc4	Glycine max	fiskebyiii	8192	119250	True	ELIGIBLE
5844dd514643bfc4	Glycine max	fiskebyiii	32768	29756	True	ELIGIBLE
5844dd514643bfc4	Glycine max	fiskebyiii	65536	14840	True	ELIGIBLE
5844dd514643bfc4	Glycine max	fiskebyiii	131072	7384	True	ELIGIBLE
5844dd514643bfc4	Glycine max	fiskebyiii	262144	3652	True	ELIGIBLE
5f25bd9cfe3467d5	Glycine max	qihuangno34	1024	961852	True	ELIGIBLE
5f25bd9cfe3467d5	Glycine max	qihuangno34	8192	120178	True	ELIGIBLE
5f25bd9cfe3467d5	Glycine max	qihuangno34	32768	29995	True	ELIGIBLE
5f25bd9cfe3467d5	Glycine max	qihuangno34	65536	14960	True	ELIGIBLE
5f25bd9cfe3467d5	Glycine max	qihuangno34	131072	7451	True	ELIGIBLE
5f25bd9cfe3467d5	Glycine max	qihuangno34	262144	3699	True	ELIGIBLE
61894c4aea5cf5df	Glycine max	zhutwinning2	1024	966208	True	ELIGIBLE
61894c4aea5cf5df	Glycine max	zhutwinning2	8192	120616	True	ELIGIBLE
61894c4aea5cf5df	Glycine max	zhutwinning2	32768	30019	True	ELIGIBLE
61894c4aea5cf5df	Glycine max	zhutwinning2	65536	14917	True	ELIGIBLE
61894c4aea5cf5df	Glycine max	zhutwinning2	131072	7410	True	ELIGIBLE
61894c4aea5cf5df	Glycine max	zhutwinning2	262144	3664	True	ELIGIBLE
667ae3303395f049	Glycine max	jidouno17	1024	982355	True	ELIGIBLE
667ae3303395f049	Glycine max	jidouno17	8192	122639	True	ELIGIBLE
667ae3303395f049	Glycine max	jidouno17	32768	30511	True	ELIGIBLE
667ae3303395f049	Glycine max	jidouno17	65536	15155	True	ELIGIBLE
667ae3303395f049	Glycine max	jidouno17	131072	7529	True	ELIGIBLE
667ae3303395f049	Glycine max	jidouno17	262144	3724	True	ELIGIBLE
6935c73bd3792804	Glycine max	kosuzu	1024	957166	True	ELIGIBLE
6935c73bd3792804	Glycine max	kosuzu	8192	119588	True	ELIGIBLE
6935c73bd3792804	Glycine max	kosuzu	32768	29845	True	ELIGIBLE
6935c73bd3792804	Glycine max	kosuzu	65536	14893	True	ELIGIBLE
6935c73bd3792804	Glycine max	kosuzu	131072	7416	True	ELIGIBLE
6935c73bd3792804	Glycine max	kosuzu	262144	3677	True	ELIGIBLE
6ad3d7c855c721ce	Vigna angularis	shumari	1024	451097	True	ELIGIBLE
6ad3d7c855c721ce	Vigna angularis	shumari	8192	56153	True	ELIGIBLE
6ad3d7c855c721ce	Vigna angularis	shumari	32768	13829	True	ELIGIBLE
6ad3d7c855c721ce	Vigna angularis	shumari	65536	6785	True	ELIGIBLE
6ad3d7c855c721ce	Vigna angularis	shumari	131072	3268	True	ELIGIBLE
6ad3d7c855c721ce	Vigna angularis	shumari	262144	1514	True	ELIGIBLE
6b1673473c52ff69	Glycine max	tanba	1024	957686	True	ELIGIBLE
6b1673473c52ff69	Glycine max	tanba	8192	119639	True	ELIGIBLE
6b1673473c52ff69	Glycine max	tanba	32768	29857	True	ELIGIBLE
6b1673473c52ff69	Glycine max	tanba	65536	14885	True	ELIGIBLE
6b1673473c52ff69	Glycine max	tanba	131072	7401	True	ELIGIBLE
6b1673473c52ff69	Glycine max	tanba	262144	3657	True	ELIGIBLE
6d38dcb5c92d95c2	Glycine max	wm82njau	1024	988068	True	ELIGIBLE
6d38dcb5c92d95c2	Glycine max	wm82njau	8192	123498	True	ELIGIBLE
6d38dcb5c92d95c2	Glycine max	wm82njau	32768	30864	True	ELIGIBLE
6d38dcb5c92d95c2	Glycine max	wm82njau	65536	15427	True	ELIGIBLE
6d38dcb5c92d95c2	Glycine max	wm82njau	131072	7708	True	ELIGIBLE
6d38dcb5c92d95c2	Glycine max	wm82njau	262144	3847	True	ELIGIBLE
723b79a6bb0fbe82	Medicago truncatula	hm078	1024	467944	True	ELIGIBLE
723b79a6bb0fbe82	Medicago truncatula	hm078	8192	58480	True	ELIGIBLE
723b79a6bb0fbe82	Medicago truncatula	hm078	32768	14610	True	ELIGIBLE
723b79a6bb0fbe82	Medicago truncatula	hm078	65536	7300	True	ELIGIBLE
723b79a6bb0fbe82	Medicago truncatula	hm078	131072	3645	True	ELIGIBLE
723b79a6bb0fbe82	Medicago truncatula	hm078	262144	1816	True	ELIGIBLE
751847692850cd02	Arachis stenosperma	v10309	1024	1202161	True	ELIGIBLE
751847692850cd02	Arachis stenosperma	v10309	8192	149454	True	ELIGIBLE
751847692850cd02	Arachis stenosperma	v10309	32768	36637	True	ELIGIBLE
751847692850cd02	Arachis stenosperma	v10309	65536	17845	True	ELIGIBLE
751847692850cd02	Arachis stenosperma	v10309	131072	8426	True	ELIGIBLE
751847692850cd02	Arachis stenosperma	v10309	262144	3793	True	ELIGIBLE
838679e55c2d0890	Glycine max	lee	1024	990356	True	ELIGIBLE
838679e55c2d0890	Glycine max	lee	8192	123777	True	ELIGIBLE
838679e55c2d0890	Glycine max	lee	32768	30930	True	ELIGIBLE
838679e55c2d0890	Glycine max	lee	65536	15455	True	ELIGIBLE
838679e55c2d0890	Glycine max	lee	131072	7717	True	ELIGIBLE
838679e55c2d0890	Glycine max	lee	262144	3852	True	ELIGIBLE
85b481ae24b243fe	Glycine max	zihuano4	1024	973482	True	ELIGIBLE
85b481ae24b243fe	Glycine max	zihuano4	8192	121537	True	ELIGIBLE
85b481ae24b243fe	Glycine max	zihuano4	32768	30244	True	ELIGIBLE
85b481ae24b243fe	Glycine max	zihuano4	65536	15023	True	ELIGIBLE
85b481ae24b243fe	Glycine max	zihuano4	131072	7461	True	ELIGIBLE
85b481ae24b243fe	Glycine max	zihuano4	262144	3703	True	ELIGIBLE
887fc38a30f65f36	Glycine max	fengdihuang	1024	966575	True	ELIGIBLE
887fc38a30f65f36	Glycine max	fengdihuang	8192	120647	True	ELIGIBLE
887fc38a30f65f36	Glycine max	fengdihuang	32768	30004	True	ELIGIBLE
887fc38a30f65f36	Glycine max	fengdihuang	65536	14904	True	ELIGIBLE
887fc38a30f65f36	Glycine max	fengdihuang	131072	7400	True	ELIGIBLE
887fc38a30f65f36	Glycine max	fengdihuang	262144	3674	True	ELIGIBLE
8948693e7614b9a0	Glycine max	amsoy	1024	962317	True	ELIGIBLE
8948693e7614b9a0	Glycine max	amsoy	8192	120141	True	ELIGIBLE
8948693e7614b9a0	Glycine max	amsoy	32768	29901	True	ELIGIBLE
8948693e7614b9a0	Glycine max	amsoy	65536	14854	True	ELIGIBLE
8948693e7614b9a0	Glycine max	amsoy	131072	7376	True	ELIGIBLE
8948693e7614b9a0	Glycine max	amsoy	262144	3656	True	ELIGIBLE
8c21e283eca8cf3b	Glycine max	heiheno43	1024	965974	True	ELIGIBLE
8c21e283eca8cf3b	Glycine max	heiheno43	8192	120625	True	ELIGIBLE
8c21e283eca8cf3b	Glycine max	heiheno43	32768	30050	True	ELIGIBLE
8c21e283eca8cf3b	Glycine max	heiheno43	65536	14957	True	ELIGIBLE
8c21e283eca8cf3b	Glycine max	heiheno43	131072	7436	True	ELIGIBLE
8c21e283eca8cf3b	Glycine max	heiheno43	262144	3688	True	ELIGIBLE
8d0c2b4f173cd9e7	Cercis chinensis	gxib	1024	323548	True	ELIGIBLE
8d0c2b4f173cd9e7	Cercis chinensis	gxib	8192	40433	True	ELIGIBLE
8d0c2b4f173cd9e7	Cercis chinensis	gxib	32768	10100	True	ELIGIBLE
8d0c2b4f173cd9e7	Cercis chinensis	gxib	65536	5046	True	ELIGIBLE
8d0c2b4f173cd9e7	Cercis chinensis	gxib	131072	2519	True	ELIGIBLE
8d0c2b4f173cd9e7	Cercis chinensis	gxib	262144	1254	True	ELIGIBLE
8f9a4aa16c3e8be0	Glycine max	ua4805	1024	961196	True	ELIGIBLE
8f9a4aa16c3e8be0	Glycine max	ua4805	8192	120067	True	ELIGIBLE
8f9a4aa16c3e8be0	Glycine max	ua4805	32768	29940	True	ELIGIBLE
8f9a4aa16c3e8be0	Glycine max	ua4805	65536	14921	True	ELIGIBLE
8f9a4aa16c3e8be0	Glycine max	ua4805	131072	7415	True	ELIGIBLE
8f9a4aa16c3e8be0	Glycine max	ua4805	262144	3664	True	ELIGIBLE
91a6c657f1069f3c	Phaseolus acutifolius	frijolbayo	1024	490323	True	ELIGIBLE
91a6c657f1069f3c	Phaseolus acutifolius	frijolbayo	8192	61060	True	ELIGIBLE
91a6c657f1069f3c	Phaseolus acutifolius	frijolbayo	32768	15080	True	ELIGIBLE
91a6c657f1069f3c	Phaseolus acutifolius	frijolbayo	65536	7388	True	ELIGIBLE
91a6c657f1069f3c	Phaseolus acutifolius	frijolbayo	131072	3578	True	ELIGIBLE
91a6c657f1069f3c	Phaseolus acutifolius	frijolbayo	262144	1727	True	ELIGIBLE
96468b4838f74d0d	Glycine max	enrei	1024	954859	True	ELIGIBLE
96468b4838f74d0d	Glycine max	enrei	8192	119300	True	ELIGIBLE
96468b4838f74d0d	Glycine max	enrei	32768	29772	True	ELIGIBLE
96468b4838f74d0d	Glycine max	enrei	65536	14852	True	ELIGIBLE
96468b4838f74d0d	Glycine max	enrei	131072	7388	True	ELIGIBLE
96468b4838f74d0d	Glycine max	enrei	262144	3659	True	ELIGIBLE
98cf7f6c3f3626e4	Glycine max	zh13	1024	958908	True	ELIGIBLE
98cf7f6c3f3626e4	Glycine max	zh13	8192	119420	True	ELIGIBLE
98cf7f6c3f3626e4	Glycine max	zh13	32768	29479	True	ELIGIBLE
98cf7f6c3f3626e4	Glycine max	zh13	65536	14474	True	ELIGIBLE
98cf7f6c3f3626e4	Glycine max	zh13	131072	7026	True	ELIGIBLE
98cf7f6c3f3626e4	Glycine max	zh13	262144	3349	True	ELIGIBLE
9ae82c2a17244c72	Lens culinaris	cdcredberry	1024	3404858	True	ELIGIBLE
9ae82c2a17244c72	Lens culinaris	cdcredberry	8192	423566	True	ELIGIBLE
9ae82c2a17244c72	Lens culinaris	cdcredberry	32768	104134	True	ELIGIBLE
9ae82c2a17244c72	Lens culinaris	cdcredberry	65536	50913	True	ELIGIBLE
9ae82c2a17244c72	Lens culinaris	cdcredberry	131072	24329	True	ELIGIBLE
9ae82c2a17244c72	Lens culinaris	cdcredberry	262144	11030	True	ELIGIBLE
9db5866248855507	Glycine max	peking	1024	973530	True	ELIGIBLE
9db5866248855507	Glycine max	peking	8192	121584	True	ELIGIBLE
9db5866248855507	Glycine max	peking	32768	30308	True	ELIGIBLE
9db5866248855507	Glycine max	peking	65536	15094	True	ELIGIBLE
9db5866248855507	Glycine max	peking	131072	7484	True	ELIGIBLE
9db5866248855507	Glycine max	peking	262144	3673	True	ELIGIBLE
9fabec0202ef64df	Glycine max	himeshirazu	1024	955090	True	ELIGIBLE
9fabec0202ef64df	Glycine max	himeshirazu	8192	119195	True	ELIGIBLE
9fabec0202ef64df	Glycine max	himeshirazu	32768	29623	True	ELIGIBLE
9fabec0202ef64df	Glycine max	himeshirazu	65536	14684	True	ELIGIBLE
9fabec0202ef64df	Glycine max	himeshirazu	131072	7220	True	ELIGIBLE
9fabec0202ef64df	Glycine max	himeshirazu	262144	3504	True	ELIGIBLE
a1031c671efeadfc	Glycine max	shishengchangye	1024	970904	True	ELIGIBLE
a1031c671efeadfc	Glycine max	shishengchangye	8192	121147	True	ELIGIBLE
a1031c671efeadfc	Glycine max	shishengchangye	32768	30086	True	ELIGIBLE
a1031c671efeadfc	Glycine max	shishengchangye	65536	14931	True	ELIGIBLE
a1031c671efeadfc	Glycine max	shishengchangye	131072	7414	True	ELIGIBLE
a1031c671efeadfc	Glycine max	shishengchangye	262144	3675	True	ELIGIBLE
a427b3f85dfe3573	Cajanus cajan	icpl87119	1024	481681	True	ELIGIBLE
a427b3f85dfe3573	Cajanus cajan	icpl87119	8192	46030	True	ELIGIBLE
a427b3f85dfe3573	Cajanus cajan	icpl87119	32768	4046	True	ELIGIBLE
a427b3f85dfe3573	Cajanus cajan	icpl87119	65536	424	True	ELIGIBLE
a427b3f85dfe3573	Cajanus cajan	icpl87119	131072	6	True	ELIGIBLE
a427b3f85dfe3573	Cajanus cajan	icpl87119	262144	0	False	INELIGIBLE_LENGTH_SPECIFIC
a8412af2ff4cd5ed	Glycine max	handouno5	1024	961051	True	ELIGIBLE
a8412af2ff4cd5ed	Glycine max	handouno5	8192	119955	True	ELIGIBLE
a8412af2ff4cd5ed	Glycine max	handouno5	32768	29820	True	ELIGIBLE
a8412af2ff4cd5ed	Glycine max	handouno5	65536	14807	True	ELIGIBLE
a8412af2ff4cd5ed	Glycine max	handouno5	131072	7361	True	ELIGIBLE
a8412af2ff4cd5ed	Glycine max	handouno5	262144	3648	True	ELIGIBLE
a9c8f2b6edacea6d	Phaseolus vulgaris	ui111	1024	534711	True	ELIGIBLE
a9c8f2b6edacea6d	Phaseolus vulgaris	ui111	8192	66781	True	ELIGIBLE
a9c8f2b6edacea6d	Phaseolus vulgaris	ui111	32768	16644	True	ELIGIBLE
a9c8f2b6edacea6d	Phaseolus vulgaris	ui111	65536	8289	True	ELIGIBLE
a9c8f2b6edacea6d	Phaseolus vulgaris	ui111	131072	4111	True	ELIGIBLE
a9c8f2b6edacea6d	Phaseolus vulgaris	ui111	262144	2030	True	ELIGIBLE
aacea7c6039184ef	Glycine max	wenfeng7iga1001	1024	963588	True	ELIGIBLE
aacea7c6039184ef	Glycine max	wenfeng7iga1001	8192	119444	True	ELIGIBLE
aacea7c6039184ef	Glycine max	wenfeng7iga1001	32768	28963	True	ELIGIBLE
aacea7c6039184ef	Glycine max	wenfeng7iga1001	65536	13883	True	ELIGIBLE
aacea7c6039184ef	Glycine max	wenfeng7iga1001	131072	6481	True	ELIGIBLE
aacea7c6039184ef	Glycine max	wenfeng7iga1001	262144	2914	True	ELIGIBLE
abec76950f46db19	Medicago truncatula	a17	1024	415452	True	ELIGIBLE
abec76950f46db19	Medicago truncatula	a17	8192	51916	True	ELIGIBLE
abec76950f46db19	Medicago truncatula	a17	32768	12965	True	ELIGIBLE
abec76950f46db19	Medicago truncatula	a17	65536	6474	True	ELIGIBLE
abec76950f46db19	Medicago truncatula	a17	131072	3228	True	ELIGIBLE
abec76950f46db19	Medicago truncatula	a17	262144	1605	True	ELIGIBLE
ae8f30e37611692d	Glycine max	tiefengno18	1024	968035	True	ELIGIBLE
ae8f30e37611692d	Glycine max	tiefengno18	8192	120913	True	ELIGIBLE
ae8f30e37611692d	Glycine max	tiefengno18	32768	30152	True	ELIGIBLE
ae8f30e37611692d	Glycine max	tiefengno18	65536	15017	True	ELIGIBLE
ae8f30e37611692d	Glycine max	tiefengno18	131072	7475	True	ELIGIBLE
ae8f30e37611692d	Glycine max	tiefengno18	262144	3711	True	ELIGIBLE
b3fb81d3f6b365ee	Arachis hypogaea	baileyii	1024	2471846	True	ELIGIBLE
b3fb81d3f6b365ee	Arachis hypogaea	baileyii	8192	308711	True	ELIGIBLE
b3fb81d3f6b365ee	Arachis hypogaea	baileyii	32768	76967	True	ELIGIBLE
b3fb81d3f6b365ee	Arachis hypogaea	baileyii	65536	38330	True	ELIGIBLE
b3fb81d3f6b365ee	Arachis hypogaea	baileyii	131072	19035	True	ELIGIBLE
b3fb81d3f6b365ee	Arachis hypogaea	baileyii	262144	9423	True	ELIGIBLE
b503a63d15d33fea	Glycine max	juxuanno23	1024	963132	True	ELIGIBLE
b503a63d15d33fea	Glycine max	juxuanno23	8192	120277	True	ELIGIBLE
b503a63d15d33fea	Glycine max	juxuanno23	32768	29965	True	ELIGIBLE
b503a63d15d33fea	Glycine max	juxuanno23	65536	14912	True	ELIGIBLE
b503a63d15d33fea	Glycine max	juxuanno23	131072	7412	True	ELIGIBLE
b503a63d15d33fea	Glycine max	juxuanno23	262144	3679	True	ELIGIBLE
