candidate_id	source_kind	relative_path	member_name	container_size_bytes	container_sha256	payload_sha256	sequence_sha256	species	material_key
78a4bd04f924b968	file	legume_family/legumeinfo/Aeschynomene/evenia/CIAT22838.gnm1.XF73/genome/aesev.CIAT22838.gnm1.XF73.genome_main.fna.gz		94634541	8845138ebaedc8fba54686189d130edba21e85ed6580e1889eec97fd11b19f7d	8845138ebaedc8fba54686189d130edba21e85ed6580e1889eec97fd11b19f7d	3816904fe88144aadc0032606db47e4acfe3120ac9ba8bf11692206b576f782a	Aeschynomene evenia	ciat22838
b1c5e59567defcb2	file	legume_family/legumeinfo/Apios/americana/LA2127.gnm1.KVMK/genome/apiam.LA2127.gnm1.KVMK.genome_main.fna.gz		387875832	3d9c083f18f005f8fa361f11169fdf4689e2c238952b3722fde562eff6583ec1	3d9c083f18f005f8fa361f11169fdf4689e2c238952b3722fde562eff6583ec1	042479503e7873d9fd247810cedba506a474cb57f8519ecf363c468d870f8a38	Apios americana	la2127
ff55280a152972fc	file	legume_family/legumeinfo/Apios/americana/LA2127.gnm1_hap2.3WWC/genome/apiam.LA2127.gnm1_hap2.3WWC.genome_main.fna.gz		398138986	5629078dfe7e2fbd380521c7a87420085110a6fc79bf5d72022997baa4c66fc2	5629078dfe7e2fbd380521c7a87420085110a6fc79bf5d72022997baa4c66fc2	d8fab8e11f922c899898cdbab016b21530308c9b3d28b0f64301278375d6fcd9	Apios americana	la2127
810b76c898ad2a31	file	legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1.814V/genome/apipr.MO19963523.gnm1.814V.genome_main.fna.gz		473280708	97aca1fa38f294f2bc09aa692608e6b12da5ff8a7d061dd24e44d1b6a0ce86cf	97aca1fa38f294f2bc09aa692608e6b12da5ff8a7d061dd24e44d1b6a0ce86cf	c32ba6ea28f2d5620a40b04371833ef618bd64c89f80b208d0b4d648e47c2767	Apios priceana	mo19963523
e1f5fa5bad42c187	file	legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1_hap2.GPZQ/genome/apipr.MO19963523.gnm1_hap2.GPZQ.genome_main.fna.gz		469485435	904f7225b420c8c6e3702756c58a04f1505227accef904492f7bdd3ff90a4a71	904f7225b420c8c6e3702756c58a04f1505227accef904492f7bdd3ff90a4a71	f30433de4696d7572feb5f9a9a426af5a3305c8efa1d5c7a5cf656a141b767d8	Apios priceana	mo19963523
40be408a0bb7c2be	file	legume_family/legumeinfo/Arachis/cardenasii/K10017.gnm1.DQ4M/genome/araca.K10017.gnm1.DQ4M.genome_main.fna.gz		331284981	f7ef70d0a11cadd3f2ba352f363961df65072eb7d2085edf6edb5e6576f8fb51	f7ef70d0a11cadd3f2ba352f363961df65072eb7d2085edf6edb5e6576f8fb51	6ed342c05e1d713757bbccaf017baf5043816c0234416468789a0564e068d6b9	Arachis cardenasii	k10017
600ebe0768f2875e	file	legume_family/legumeinfo/Arachis/duranensis/K30060.gnm1.W9B1/genome/aradu.K30060.gnm1.W9B1.genome_main.fna.gz		283779025	7c86503f7a9767e17aa0d683e47e66e320527183e185ee415b745237d2066072	7c86503f7a9767e17aa0d683e47e66e320527183e185ee415b745237d2066072	8e9b2f48ac13137b986448c08520d4f042988cf750e136cd5756a83155d5c387	Arachis duranensis	k30060
4b7148124b1f98f1	file	legume_family/legumeinfo/Arachis/duranensis/K30065.gnm1.M24N/genome/aradu.K30065.gnm1.M24N.genome_main.fna.gz		319256144	8e2e188a5d813a477a61b988d7f132b995decca466cbdaefb52f7a471a078208	8e2e188a5d813a477a61b988d7f132b995decca466cbdaefb52f7a471a078208	4daf1bb470425eaa7d26f8a913cac4d7513f8881500fef496ce013025f65338a	Arachis duranensis	k30065
17aa980862a428b6	file	legume_family/legumeinfo/Arachis/duranensis/V14167.gnm1.SWBf/genome/aradu.V14167.gnm1.SWBf.genome_main.fna.gz		258571311	f2fc0f8f60e14e212d8383375bc2328f37f5e14c6917fd949529827a6c230260	f2fc0f8f60e14e212d8383375bc2328f37f5e14c6917fd949529827a6c230260	99ff6eaa2a444375dc9c54242514b6a532293937612932ea11e04b0afc66a046	Arachis duranensis	v14167
9fd356999459cb1e	file	legume_family/legumeinfo/Arachis/duranensis/V14167.gnm2.J7QH/genome/aradu.V14167.gnm2.J7QH.genome_main.fna.gz		288574546	d157c5198b314a0869d207ff2084cf17d6d3704e821ae6192322acd1df82f1cd	d157c5198b314a0869d207ff2084cf17d6d3704e821ae6192322acd1df82f1cd	ab36830fd36acd54a63828bf3c53ef65ad1e9266a9e604d9957c6be564afc2bc	Arachis duranensis	v14167
b3fb81d3f6b365ee	file	legume_family/legumeinfo/Arachis/hypogaea/BaileyII.gnm1.1JTF/genome/arahy.BaileyII.gnm1.1JTF.genome_main.fna.gz		667672203	88eface32be91ca64411b1fc621cfe0235a4fb59aa0a0f6a06671d27ac203b14	88eface32be91ca64411b1fc621cfe0235a4fb59aa0a0f6a06671d27ac203b14	40eb1821f1f2a7928d8d4ccc1d47814898a1d44913c53d04b5cd3e1c85e25894	Arachis hypogaea	baileyii
d36e222da4e0cfc3	file	legume_family/legumeinfo/Arachis/hypogaea/C76-16.gnm1.2559/genome/arahy.C76-16.gnm1.2559.genome_main.fna.gz		719429843	9d251c28c10d57124b506dbe41fc76adf7499d0b40074ea908ca806c16de0058	9d251c28c10d57124b506dbe41fc76adf7499d0b40074ea908ca806c16de0058	580f4eb2f77114b34cf8107467dd7a0911cd4609202745b31163cf0d678fcd0d	Arachis hypogaea	c7616
1e03257b23978be3	file	legume_family/legumeinfo/Arachis/hypogaea/F07.gnm1.96DS/genome/arahy.F07.gnm1.96DS.genome_main.fna.gz		719541171	222a6a7c14b4021437fe2fd970d66d2a9d243919b7bb8525d7550ecf0e09d89e	222a6a7c14b4021437fe2fd970d66d2a9d243919b7bb8525d7550ecf0e09d89e	98f743b528ce88e074d205e5b0743c83243f639e88a7a70ca38860f9b93977bf	Arachis hypogaea	f07
6f7311d80af7f768	file	legume_family/legumeinfo/Arachis/hypogaea/Fuhuasheng.gnm1.XX5Y/genome/arahy.Fuhuasheng.gnm1.XX5Y.genome_main.fna.gz		651068267	e327fc0ba7734f77e9637bb305457f838d7f210c3290788234dd36fa5929b447	e327fc0ba7734f77e9637bb305457f838d7f210c3290788234dd36fa5929b447	880b488c994b4a9561914e78b4e9a1dd6db056a91321e5f38c0fbd6671ff0d7f	Arachis hypogaea	fuhuasheng
73e72487f230e42a	file	legume_family/legumeinfo/Arachis/hypogaea/ICG1471.gnm1.MN6K/genome/arahy.ICG1471.gnm1.MN6K.genome_main.fna.gz		697012308	4ed9a0c58e6d0ea95e8d0fd571253367047e0fed2f498a59b41c134404126340	4ed9a0c58e6d0ea95e8d0fd571253367047e0fed2f498a59b41c134404126340	9c2ce31c692c58758cdb49c811c8aec59f7b3dcfa1b68f6c00c694be18c305c0	Arachis hypogaea	icg1471
e28edcc0918cbe54	file	legume_family/legumeinfo/Arachis/hypogaea/Shitouqi.gnm1.L4VP/genome/arahy.Shitouqi.gnm1.L4VP.genome_main.fna.gz		747684589	f4177d482df41ef65e73b179f1cef034c8001934c1c1105f80d21d2983f09b4a	f4177d482df41ef65e73b179f1cef034c8001934c1c1105f80d21d2983f09b4a	9476ce3b6b8462bd23af0e85358ca102f61fc5764601ad312fac4895d45188f7	Arachis hypogaea	shitouqi
bf8095e2d8c1826f	file	legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm1.KYV3/genome/arahy.Tifrunner.gnm1.KYV3.genome_main.fna.gz		674659881	27b46e06f769d45da467cdec1580ff61ecd96212908710a9660569f3d53f29ac	27b46e06f769d45da467cdec1580ff61ecd96212908710a9660569f3d53f29ac	e6d84c7fb735440d783b85c812b286b7b6095b8cef0746b3c10dfeaa3e162cbe	Arachis hypogaea	tifrunner
1815273b5e4ad094	file	legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm1.KYV3/genome/arahy.Tifrunner.gnm1.KYV3.genome_softmasked.fna.gz		163387295	884f22a89794338dcbed83274e2f99bd42ca7716ccfc4b91d6452fbbd048609e	884f22a89794338dcbed83274e2f99bd42ca7716ccfc4b91d6452fbbd048609e	932619ec0019389185b75a0ea32265d969adaac8d584a697fe9a8d1d7d0abc67	Arachis hypogaea	tifrunner
419770e1892b655a	file	legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm2.J5K5/genome/arahy.Tifrunner.gnm2.J5K5.genome_main.fna.gz		656861401	d6da12699b76ede36ef5fc4d5b1cb25c72fc57014d66a06f608b4653ac5ea344	d6da12699b76ede36ef5fc4d5b1cb25c72fc57014d66a06f608b4653ac5ea344	103c4c4099af62e55ccea65500bbf9b9aba23b44e3f30d49a8da66c6138560a1	Arachis hypogaea	tifrunner
b2d6d16f011f3228	file	legume_family/legumeinfo/Arachis/ipaensis/K30076.gnm1.bXJ8/genome/araip.K30076.gnm1.bXJ8.genome_main.fna.gz		341322985	464e31cb00a77bb60552ba2d69b422089c85df5757e8fbcaa82227514540801e	464e31cb00a77bb60552ba2d69b422089c85df5757e8fbcaa82227514540801e	dd203b77f51eaad161165566ceb4d65f179edee62d1eda9ccc4a458e892dc13a	Arachis ipaensis	k30076
ae7da8fd92c7be8d	file	legume_family/legumeinfo/Arachis/ipaensis/K30076.gnm2.1GWY/genome/araip.K30076.gnm2.1GWY.genome_main.fna.gz		428186550	455f527ba706917a2b25aa864b493b682e835b4b976cda8509ac3029908b4db1	455f527ba706917a2b25aa864b493b682e835b4b976cda8509ac3029908b4db1	873ccabb7e4ffead9a9df07d9abbd486633dcff382d5113abbe2b2a0d83ddcc6	Arachis ipaensis	k30076
751847692850cd02	file	legume_family/legumeinfo/Arachis/stenosperma/V10309.gnm1.PFL2/genome/arast.V10309.gnm1.PFL2.genome_main.fna.gz		358968328	e0c0d5cbb6efccac54ade465c6f0adfee2a7e5bb396845cbc71237dfe27fcdd6	e0c0d5cbb6efccac54ade465c6f0adfee2a7e5bb396845cbc71237dfe27fcdd6	3a58f868e2ef18ac4d11fce43d001d0eb2ac7c4e2b00843b64dbb2ae94ee8ec8	Arachis stenosperma	v10309
69e6987cb4e1b416	file	legume_family/legumeinfo/Cajanus/cajan/ICPL87119.gnm1.SBGP/genome/cajca.ICPL87119.gnm1.SBGP.genome_main.fna.gz		156778185	31559c100df17bc03881d0f3bfefdc7fdf9daf605ed1009e1916a566a96c3415	31559c100df17bc03881d0f3bfefdc7fdf9daf605ed1009e1916a566a96c3415	0e74b3887872d6a111111ea3c02b4deeeb3c352295e5eaa58503fe2fbf16bfac	Cajanus cajan	icpl87119
a427b3f85dfe3573	file	legume_family/legumeinfo/Cajanus/cajan/ICPL87119.gnm2.KL9M/genome/cajca.ICPL87119.gnm2.KL9M.genome_main.fna.gz		181329469	b1b321b9e932b1541147b988a0dd2733cc9328d93a3af384661a9e40a388fc69	b1b321b9e932b1541147b988a0dd2733cc9328d93a3af384661a9e40a388fc69	334b3c59a3ec30d3e8950301c3a0f601956b98dee7bfb6b5f49c684efba15931	Cajanus cajan	icpl87119
