candidate_id	archive_relative_path	member_name	material	archive_size_bytes	archive_mtime_ns	archive_sha256	member_uncompressed_bytes	member_crc32_hex	paired_genome_ids
a913c047e49ef604	soyod/58-161/gff/58-161.annotation.zip	58-161.annotation.gff	58-161	10233184	1706622884000000000	12c28ce679362528471a17c6037db81e97558f7dc98445fa8d1a66d627083ca3	117289335	42700832	a876d48a2c706a07
31995c10e87bb933	soyod/Amsoy/gff/Amsoy.annotation.zip	Amsoy.annotation.gff	Amsoy	10402917	1706622888000000000	9acaa313fd6f9f16d249e8247a0965a4d149049fd516d99ed0cb966aa678481a	119812975	6a6d05a9	d7bf33512f5efb70
05812814b4fa2961	soyod/Chang_Chun_Man_Cang_Jin/gff/Chang_Chun_Man_Cang_Jin.annotation.zip	Chang_Chun_Man_Cang_Jin.annotation.gff	Chang_Chun_Man_Cang_Jin	10466339	1706622903000000000	095c990c882ff1afe023f7450e5a9965b5dc26e85f6e7f402a3d8eab58c281e5	121123046	43299fc4	.
3be1e56262ce8982	soyod/Dong_Nong_50/gff/Dong_Nong_50.annotation.zip	Dong_Nong_50.annotation.gff	Dong_Nong_50	9818347	1706622906000000000	b66fd2a0b5f526fb9db60763aa06c7f973ef882b6c4f3e6334e2e8954d49f13b	112177233	6f19df5a	707efaf04ecddda3
8c01fac655e2321e	soyod/Embrapa_BRS537/gff/Embrapa_BRS537.annotation.zip	Embrapa_BRS537.annotation.gff	Embrapa_BRS537	14449639	1706622917000000000	4f05fb047ade194a33d152b80d0ce44fea5b209e602332283da4fae4a1382397	375953449	c055ee35	.
e4d6867418a34c2f	soyod/Feng_Di_Huang/gff/Feng_Di_Huang.annotation.zip	Feng_Di_Huang.annotation.gff	Feng_Di_Huang	10370977	1706622934000000000	3d5a694c9544d839b27882198861cf85d06fef24bbb63bcf8b9ca94cbcc01328	119442647	9c290cf8	25565e6ddb46cf2b
5194bea5ac378b1f	soyod/Han_Dou_5/gff/Han_Dou_5.annotation.zip	Han_Dou_5.annotation.gff	Han_Dou_5	10721487	1706623029000000000	78fe8d564ef718400fe52bd832a8a2b3bee878eaf35db6275e9913a2a7c74c40	124928383	d2de70ac	4031d69b02a716f7
0165f825df40f696	soyod/Hei_He_43/gff/Hei_He_43.annotation.zip	Hei_He_43.annotation.gff	Hei_He_43	10274110	1706623035000000000	c4c1c7013902c684af3e1a857bc550a3e687fcbbd57d725ca18a372bbdb1d145	118073414	39c894ca	16d3df40c0fb0fb5
1a9f5e4727b67615	soyod/Ji_Dou_17/gff/Ji_Dou_17.annotation.zip	Ji_Dou_17.annotation.gff	Ji_Dou_17	10844404	1706623088000000000	72ce124eaef19f9d2e227284c81466a65df0c6a76039f49ab1d62f49f06d77ef	126591282	e08522a2	171366e08dc02b7b
598fccdd2491defe	soyod/Jin_Dou_23/gff/Jin_Dou_23.annotation.zip	Jin_Dou_23.annotation.gff	Jin_Dou_23	9924011	1780801628000000000	4821800b70275cef5f7cd0a55dc182541b7d2d0dfcb04198d4c84a5b7b15b656	113636990	f02fc651	.
82ecaeb2a9837089	soyod/Ju_Xuan23/gff/Ju_Xuan23.annotation.zip	Ju_Xuan23.annotation.gff	Ju_Xuan23	10315818	1780801854000000000	7b8b486d0ad3d32ac20f3983eee9115b3427b2c8f369ae441baac42c0c7484eb	118839858	d15c2416	b10bfad5ec69417b
ffa337ed63029cb4	soyod/Ke_Shan_1/gff/Ke_Shan_1.annotation.zip	Ke_Shan_1.annotation.gff	Ke_Shan_1	10040996	1780801914000000000	7afb954c29b3685cbc1974cfb71b7553e3898ebe00bcd0dca365efb0960b7bc5	115280043	ac3cd923	c8052754918595fe
a416c0cfca0d2b23	soyod/PI398296/gff/PI398296.annotation.zip	PI398296.annotation.gff	PI398296	10275874	1780801970000000000	096217e9f3916706a2ff15b87c46b95d235383981b64447f7739988825010101	118298905	d43389e8	2699509d2e883bb2
564b7be60773bd96	soyod/PI483463/gff/PI483463.annotation.zip	PI_483463.annotation.gff	PI483463	10755988	1780802041000000000	3fc757d8d62d0d7912b2723b4f4ae472204fffe9d572e952e18bcd9c63139466	143237349	2c72e979	66bd9b9a0ae1df14
