candidate_id	relative_path	size_bytes	file_sha256	file_member_count	total_uncompressed_bytes	crc_verified_count	crc_failure_count	encrypted_member_count	unsafe_member_count	high_compression_ratio_count	status
e06b6937fc97f408	soyod/Feng_Di_Huang/genome/Feng_Di_Huang.genome.zip	242099595	665a9a7b590b563eb4d1b1eefa7a4d320546b48f840038cd264fec1ebfaf17b3	1	1004687082	1	0	0	0	0	PASS
eb1925d8df2d6936	soyod/Feng_Di_Huang/gff/Feng_Di_Huang.annotation.zip	10370977	3d5a694c9544d839b27882198861cf85d06fef24bbb63bcf8b9ca94cbcc01328	1	119442647	1	0	0	0	0	PASS
64e77a4e8ca0e383	soyod/Feng_Di_Huang/mrna/Feng_Di_Huang.mRNA.zip	29310727	4d1868484bc730540a7b6ce011c2d08f74e04f23bba3afd65fa2108076f02f4a	1	152018760	1	0	0	0	0	PASS
9e44f7f4b5308eab	soyod/Feng_Di_Huang/ncrna/Feng_Di_Huang.ncRNA.gff3.zip	87023	b49300470df94cb5a3ffbc54619f0b0d2ae51402de7d629a50790d8643ef7203	1	896334	1	0	0	0	0	PASS
b09de5339aba75d7	soyod/Feng_Di_Huang/protein/Feng_Di_Huang.protein.zip	11992725	ea89beb320bc43148dcd5748bb0f6d1346041582a8da983a8c9297607bb23501	1	36179111	1	0	0	0	0	PASS
3ec3e0c4e5042198	soyod/Han_Dou_5/cds/Han_Dou_5.CDS.zip	20131372	10fbf1ead8e406d4493c765a686a4f07bbc981f9a4c17b1d1e36636c383cbee0	1	111621045	1	0	0	0	0	PASS
13a15d6eca74f8c3	soyod/Han_Dou_5/genome/Han_Dou_5.genome.zip	244030020	2084838bc492e3d4fa2561796f6188bfa8fb645bf15e26c65450eb1bc797db75	1	1004107755	1	0	0	0	0	PASS
ab910fa564943f2b	soyod/Han_Dou_5/gff/Han_Dou_5.annotation.zip	10721487	78fe8d564ef718400fe52bd832a8a2b3bee878eaf35db6275e9913a2a7c74c40	1	124928383	1	0	0	0	0	PASS
60b99bf53c01504a	soyod/Han_Dou_5/mrna/Han_Dou_5.mRNA.zip	30284778	6c44813bb64322b19738ee1b42b21a4a60855ccb7caabedda72f98532e96f4d1	1	164348902	1	0	0	0	0	PASS
f0661bf1292b7081	soyod/Han_Dou_5/ncrna/Han_Dou_5.ncRNA.gff3.zip	91753	07fe4ed9b5d99386685c5c8275dad28ba8f65716897652591d945c30c39f3335	1	944079	1	0	0	0	0	PASS
