candidate_id	archive_relative_path	member_name	material	archive_size_bytes	archive_mtime_ns	archive_sha256	member_uncompressed_bytes	member_crc32_hex
a876d48a2c706a07	soyod/58-161/genome/58-161.genome.zip	58-161.genome.fasta	58-161	241163445	1706622899000000000	dfda0f62b38adeb69b5eb21ce429f49654782a58580fe5bb8c04a7a7a205b036	1005171307	60b2d79b
d7bf33512f5efb70	soyod/Amsoy/genome/Amsoy.genome.zip	Amsoy.genome.fasta	Amsoy	240075610	1706622902000000000	a1b7cd3d214ec338a0fc36ba644ada7d93df5a8b1e9cf41bf8bbf34641a7eafa	992342558	5aa34af0
707efaf04ecddda3	soyod/Dong_Nong_50/genome/Dong_Nong_50.genome.zip	Dong_Nong_50.genome.fasta	Dong_Nong_50	245588532	1706622919000000000	22e55828ce1a02db81dd8418101f411f6291e6e5440675cb30dc7206eaac0c83	1025107632	16a022ed
25565e6ddb46cf2b	soyod/Feng_Di_Huang/genome/Feng_Di_Huang.genome.zip	Feng_Di_Huang.genome.fasta	Feng_Di_Huang	242099595	1706622948000000000	665a9a7b590b563eb4d1b1eefa7a4d320546b48f840038cd264fec1ebfaf17b3	1004687082	d88b4388
4031d69b02a716f7	soyod/Han_Dou_5/genome/Han_Dou_5.genome.zip	Han_Dou_5.genome.fasta	Han_Dou_5	244030020	1706623044000000000	2084838bc492e3d4fa2561796f6188bfa8fb645bf15e26c65450eb1bc797db75	1004107755	1f0b5719
16d3df40c0fb0fb5	soyod/Hei_He_43/genome/Hei_He_43.genome.zip	Hei_He_43.genome.fasta	Hei_He_43	241186046	1706623050000000000	93842dc50ce774c265c5fb01fd2108d59c83d9b8b5a524adc5aa6d44fc4c2364	1010092463	ae58bc9b
171366e08dc02b7b	soyod/Ji_Dou_17/genome/Ji_Dou_17.genome.zip	Ji_Dou_17.genome.fasta	Ji_Dou_17	249870826	1706623101000000000	01fabe63c6d3af384441a8d21621e20f9b812e76c21f905d28de2e3b67aec2c8	1024485520	5632adf3
b10bfad5ec69417b	soyod/Ju_Xuan23/genome/Ju_Xuan23.genome.zip	Ju_Xuan23.genome.fasta	Ju_Xuan23	242178454	1780801849000000000	3e6c671dc67394a4972bd5abff5ba86771845c293d76ca74ca2136b3dae7c1e9	1007763440	add86c4d
c8052754918595fe	soyod/Ke_Shan_1/genome/Ke_Shan_1.genome.zip	Ke_Shan_1.genome.fasta	Ke_Shan_1	242180909	1780801905000000000	bae1b4dff9fe4fc5bf67e290c5caea87c9bc781851220de0a157ba2c9b7f3e7d	1007373258	05e3d00e
2699509d2e883bb2	soyod/PI398296/genome/PI398296.genome.zip	PI398296.genome.fasta	PI398296	253301926	1780801966000000000	5937fd21c6c37f6cb68f7b01035170a6b5a990481ae6c2ef814d9475e90e9c4c	1059787878	866ddab9
