archive_candidate_id	archive_relative_path	member_name	member_type	uncompressed_bytes	compressed_bytes	crc32_hex	encrypted	safe_path	crc_verified	error_type	status
734334beedcaa7ff	soyod/58-161/cds/58-161.CDS.zip	58-161.CDS.fasta	fasta	103922516	19084937	394902dd	false	true	true		PASS
d1e56ed25ad0efd5	soyod/58-161/genome/58-161.genome.zip	58-161.genome.fasta	fasta	1005171307	241163273	60b2d79b	false	true	true		PASS
dfc05d04c23e2b46	soyod/58-161/gff/58-161.annotation.zip	58-161.annotation.gff	annotation	117289335	10233008	42700832	false	true	true		PASS
e5356095175ef9c2	soyod/58-161/mrna/58-161.mRNA.zip	58-161.mRNA.fasta	fasta	146821668	28399283	17679643	false	true	true		PASS
8d2fcbafe88d020a	soyod/58-161/ncrna/58-161.ncRNA.gff3.zip	58-161.ncRNA.gff3	annotation	920129	89029	ea186eb6	false	true	true		PASS
b920615fe212149c	soyod/58-161/protein/58-161.protein.zip	58-161.protein.fasta	fasta	35761509	12010277	d678a8a4	false	true	true		PASS
df487d34a7bd6d09	soyod/Amsoy/cds/Amsoy.CDS.zip	Amsoy.CDS.fasta	fasta	105090211	19629289	f242aed0	false	true	true		PASS
7106c5f5d6fb05a8	soyod/Amsoy/genome/Amsoy.genome.zip	Amsoy.genome.fasta	fasta	992342558	240075440	5aa34af0	false	true	true		PASS
921b94592dd006ee	soyod/Amsoy/gff/Amsoy.annotation.zip	Amsoy.annotation.gff	annotation	119812975	10402743	6a6d05a9	false	true	true		PASS
a41ec6b56c8042b2	soyod/Amsoy/mrna/Amsoy.mRNA.zip	Amsoy.mRNA.fasta	fasta	153703245	28856940	3ae5ba90	false	true	true		PASS
bd6be6eb184465da	soyod/Amsoy/ncrna/Amsoy.ncRNA.gff3.zip	Amsoy.ncRNA.gff3	annotation	889800	86367	e41a4bfb	false	true	true		PASS
a8ef04ea806756b3	soyod/Amsoy/protein/Amsoy.protein.zip	Amsoy.protein.fasta	fasta	36162177	11923492	727989c0	false	true	true		PASS
f00b3612a8731124	soyod/Chang_Chun_Man_Cang_Jin/cds/Chang_Chun_Man_Cang_Jin.CDS.zip	Chang_Chun_Man_Cang_Jin.CDS.fasta	fasta	107014751	19986883	367b2410	false	true	true		PASS
c67d93c7daf7cf33	soyod/Chang_Chun_Man_Cang_Jin/gff/Chang_Chun_Man_Cang_Jin.annotation.zip	Chang_Chun_Man_Cang_Jin.annotation.gff	annotation	121123046	10466129	43299fc4	false	true	true		PASS
a15c39498e5360d6	soyod/Chang_Chun_Man_Cang_Jin/mrna/Chang_Chun_Man_Cang_Jin.mRNA.zip	Chang_Chun_Man_Cang_Jin.mRNA.fasta	fasta	153803992	29442826	1af486a9	false	true	true		PASS
a474dac9bbab0afb	soyod/Chang_Chun_Man_Cang_Jin/ncrna/Chang_Chun_Man_Cang_Jin.ncRNA.gff3.zip	Chang_Chun_Man_Cang_Jin.ncRNA.gff3	annotation	918743	89967	cf2aab4e	false	true	true		PASS
c0a0d77338fe014e	soyod/Dong_Nong_50/cds/Dong_Nong_50.CDS.zip	Dong_Nong_50.CDS.fasta	fasta	95624457	18552543	6478237d	false	true	true		PASS
4e48cf9ee40b3d79	soyod/Dong_Nong_50/genome/Dong_Nong_50.genome.zip	Dong_Nong_50.genome.fasta	fasta	1025107632	245588348	16a022ed	false	true	true		PASS
