candidate_id	orientation_signature	orientation_group_id	orientation_group_size	orientation_representative
1945ba4c0ba1281f	d5006dab39919623ad981a54601612843fb809033a4339d0845e686756cf803d	orientation-d5006dab39919623	1	True
195fb29e3840d61b	0aed5d755e331496be5af8468b60dafdb632db7f5c4148544774864c54215ed6	orientation-0aed5d755e331496	1	True
1969c44cccdbc0ca	f1a703bf9586b31ceefc88233bb4256880307546b6f27c4c4d3394314ae476f9	orientation-f1a703bf9586b31c	1	True
19a3704fc5744b8a	7e5d19b555e71e25c968bce034f03e767aeae885f00a1b41c168c82285c674c3	orientation-7e5d19b555e71e25	1	True
19b005bcf2747187	4b85f5de5d900cd57248e195dfe60f4a95ba93292567b808f716984ed0dd3627	orientation-4b85f5de5d900cd5	1	True
1a700e8353f7effb	b3e647236f730d6553e5f2cdbe538e2b4dcd00f5ddda838f791a1b7ea917a143	orientation-b3e647236f730d65	2	True
1a8f6038ca9ca128	f1548bb8ef45b06cfa9c05835f7352a18425ee6f02975eb320518bdf9d41349b	orientation-f1548bb8ef45b06c	1	True
1b3bf9483f50efe1	b3e647236f730d6553e5f2cdbe538e2b4dcd00f5ddda838f791a1b7ea917a143	orientation-b3e647236f730d65	2	False
1b93544fbbeb7d5d	2face8ede517f5c388c92edc6a020c441480229b18ea7026a962a91f2605d346	orientation-2face8ede517f5c3	2	True
1be2867072344ebf	4e5133b07aff47820d7c8d4ae4c53c3bd36d508b8cf1b966080e6a66ef0a4860	orientation-4e5133b07aff4782	1	True
1cac6cdef48a6b1e	e9d6be27d8ea70c59d7374112f2ae911b310c506ef2b7003d8f72e5b807e2f37	orientation-e9d6be27d8ea70c5	1	True
1e03257b23978be3	0b5b5bababaa3efee47c4003eece383e29dbb7fd09a91a2378c5d95afaeaeabe	orientation-0b5b5bababaa3efe	1	True
1e2b22ed1968e522	8b5dfe4b75cdec742cf370d5a747bfd377f222553cbddc1a1b09b3919f99649c	orientation-8b5dfe4b75cdec74	1	True
1e3747d1b9b74146	bb74b31bfd85912f4942372c3acab0cbec2600fdaa6ad296f3a597292bde4050	orientation-bb74b31bfd85912f	2	True
1edf6a8a547243a1	cbd20e644761a11d7972211e4669e488e49d62cc9296ea1bf977a1c8b902bed4	orientation-cbd20e644761a11d	1	True
1f214bea4d5a72fb	8535dba4eb08ac51025be6ed24959678f7916b1b52b89cc5f4439615b2c7d6cc	orientation-8535dba4eb08ac51	1	True
1f40f5aa5311bfd9	f627795609cfb4a5b0dc61c37d27fb27fc801e737e4d571ee3dc8dc55ab12b7b	orientation-f627795609cfb4a5	1	True
1f47770d9ba1c1ad	021807c253ae119488e7ce47f9a2356c749efad61e65742d7c19b5fe3b9238ce	orientation-021807c253ae1194	1	True
1fb9da72b0a86a36	a65c14e8bcf7f958b53365f407f5a8175b4e36cba0d2203965d301e17196f166	orientation-a65c14e8bcf7f958	1	True
1fd349abbed91199	5d6615ba019e5fc359b78a96209b7ebfbbb9a158bdb0eecb92d0dff12f0448d5	orientation-5d6615ba019e5fc3	1	True
202b9d0c154b153d	4c1ac97202212a19df8b6de4a33de90e74a07b30702902bada61a3d2acb20601	orientation-4c1ac97202212a19	1	True
2179c531b0a9a43e	1c1c68edd3fc474034d9d9b4b81feb810141f516fb4a0d91dde8002ded88c235	orientation-1c1c68edd3fc4740	1	True
2190c3d385555d34	41b943a75fd34b57002f3baca02189374dedd97b768f9d044faafc614b1d52bf	orientation-41b943a75fd34b57	1	True
