doi	title	journal	year	publisher	authors	url	publication_type	nature_portfolio	query_ids	sources
10.1093/dnares/dsy029	ARIADNA: machine learning method for ancient DNA variant discovery	DNA Research	2018	Oxford University Press (OUP)	Kawash, Joseph K; Smith, Sean D; Karaiskos, Spyros; Grigoriev, Andrey	https://doi.org/10.1093/dnares/dsy029	journal-article	false	variant_effect	crossref
10.18699/mm-hpc-bbb-2018-25	Assessment of software for somatic single nucleotide variant identification using simulated whole-genome sequencing data of cancer	Симпозиум «Математическое моделирование и высокопроизводительные вычисления в биоинформатике, биомедицине и биотехнологии»	2018	Institute of Cytology and Genetics, SB RAS		https://doi.org/10.18699/mm-hpc-bbb-2018-25	journal-article	false	nucleotide_tokenizer	crossref
10.1186/s40364-018-0133-z	Associations of single nucleotide polymorphisms with mucinous colorectal cancer: genome-wide common variant and gene-based rare variant analyses	Biomarker Research	2018	Springer Science and Business Media LLC	Penney, Michelle E.; Parfrey, Patrick S.; Savas, Sevtap; Yilmaz, Yildiz E.	https://doi.org/10.1186/s40364-018-0133-z	journal-article	false	gpn_exact	crossref
10.1038/s41598-018-21665-7	Author Correction: Facile single-stranded DNA sequencing of human plasma DNA via thermostable group II intron reverse transcriptase template switching	Scientific Reports	2018	Springer Science and Business Media LLC	Wu, Douglas C.; Lambowitz, Alan M.	https://doi.org/10.1038/s41598-018-21665-7	journal-article	true	reverse_complement	crossref
10.1049/cje.2018.09.007	Automated DNA Assembly Based on Four‐Gram Statistical Language Model	Chinese Journal of Electronics	2018	Institute of Electrical and Electronics Engineers (IEEE)	FANG, Gang; LIU, Wenbin; ZHANG, Shemin	https://doi.org/10.1049/cje.2018.09.007	journal-article	false	variant_effect	crossref
10.21105/joss.00826	BAMnostic: an OS-agnostic toolkit for genomic sequence analysis	Journal of Open Source Software	2018	The Open Journal	D Sherman, Marcus; E Mills, Ryan	https://doi.org/10.21105/joss.00826	journal-article	false	omnireg_gpt	crossref
10.1016/j.lrp.2017.09.002	Beyond the purely commercial business model: Organizational value logics and the heterogeneity of sustainability business models	Long Range Planning	2018	Elsevier BV	Laasch, Oliver	https://doi.org/10.1016/j.lrp.2017.09.002	journal-article	false	caduceus	crossref
10.1186/s12864-018-5123-x	Big data analysis of human mitochondrial DNA substitution models: a regression approach	BMC Genomics	2018	Springer Science and Business Media LLC	Levinstein Hallak, Keren; Tzur, Shay; Rosset, Saharon	https://doi.org/10.1186/s12864-018-5123-x	journal-article	false	nucleotide_transformer	crossref
10.1021/acschembio.8b00163	Biogenesis of Asparagine-Linked Glycoproteins Across Domains of Life—Similarities and Differences	ACS Chemical Biology	2018	American Chemical Society (ACS)	Eichler, Jerry; Imperiali, Barbara	https://doi.org/10.1021/acschembio.8b00163	journal-article	false	evo2_exact	crossref
10.1016/j.lrp.2017.07.006	Business models and business model innovation: Between wicked and paradigmatic problems	Long Range Planning	2018	Elsevier BV	Foss, Nicolai J.; Saebi, Tina	https://doi.org/10.1016/j.lrp.2017.07.006	journal-article	false	caduceus	crossref
10.1186/s13059-018-1387-3	Bystro: rapid online variant annotation and natural-language filtering at whole-genome scale	Genome Biology	2018	Springer Science and Business Media LLC	Kotlar, Alex V.; Trevino, Cristina E.; Zwick, Michael E.; Cutler, David J.; Wingo, Thomas S.	https://doi.org/10.1186/s13059-018-1387-3	journal-article	false	gpn_exact	crossref
10.1534/genetics.118.301298	Can Deep Learning Improve Genomic Prediction of Complex Human Traits?	Genetics	2018	Oxford University Press (OUP)	Bellot, Pau; de los Campos, Gustavo; Pérez-Enciso, Miguel	https://doi.org/10.1534/genetics.118.301298	journal-article	false	sequence_to_function	crossref
10.1111/tpj.14153	Candidate gene identification of existing or induced mutations with pipelines applicable to large genomes	The Plant Journal	2018	Wiley	Dong, Jiaqiang; Tu, Min; Feng, Yaping; Zdepski, Anna; Ge, Fei; Kumar, Dibyendu; Slovin, Janet P.; Messing, Joachim	https://doi.org/10.1111/tpj.14153	journal-article	false	agront_exact	crossref
10.3389/fpsyg.2018.00610	Centeredness Theory: Understanding and Measuring Well-Being Across Core Life Domains	Frontiers in Psychology	2018	Frontiers Media SA	Bloch-Jorgensen, Zephyr T.; Cilione, Patrick J.; Yeung, William W. H.; Gatt, Justine M.	https://doi.org/10.3389/fpsyg.2018.00610	journal-article	false	evo2_exact	crossref
10.7554/elife.27024	Chromatin-associated RNA sequencing (ChAR-seq) maps genome-wide RNA-to-DNA contacts	eLife	2018	eLife Sciences Publications, Ltd	Bell, Jason C; Jukam, David; Teran, Nicole A; Risca, Viviana I; Smith, Owen K; Johnson, Whitney L; Skotheim, Jan M; Greenleaf, William James; Straight, Aaron F	https://doi.org/10.7554/elife.27024	journal-article	false	borzoi	crossref
10.1139/gen-2017-0235	Chromosome identification in <i>Cucumis anguria</i> revealed by cross-species single-copy gene FISH	Genome	2018	Canadian Science Publishing	Li, Ziang; Bi, Yunfei; Wang, Xing; Wang, Yunzhu; Yang, Shuqiong; Zhang, Zhentao; Chen, Jinfeng; Lou, Qunfeng	https://doi.org/10.1139/gen-2017-0235	journal-article	false	cross_species	crossref
10.1016/j.genrep.2018.05.012	Cloning, sequence, and expression analyses of the Chrysanthemum morifolium flowering-related gene CmCOL (CONSTANS-like)	Gene Reports	2018	Elsevier BV	Sun, Xia; Wang, Xiufeng; Zheng, Chengshu; Xing, Shiyan; Shu, Huairui	https://doi.org/10.1016/j.genrep.2018.05.012	journal-article	false	enformer	crossref
10.3389/fgene.2018.00021	Commentary: Programmable base editing of A·T to G·C in genomic DNA without DNA cleavage	Frontiers in Genetics	2018	Frontiers Media SA	Matsoukas, Ianis G.	https://doi.org/10.3389/fgene.2018.00021	journal-article	false	genome_scaling	crossref
10.1128/genomea.00125-18	Complete Genome Sequence of a Ciprofloxacin-Resistant Salmonella enterica subsp. enterica Serovar Kentucky Sequence Type 198 Strain, PU131, Isolated from a Human Patient in Washington State	Genome Announcements	2018	American Society for Microbiology	Shah, Devendra H.; Paul, Narayan C.; Guard, Jean	https://doi.org/10.1128/genomea.00125-18	journal-article	false	long_context_genome	crossref
10.1128/genomea.00444-18	Complete Genome Sequence of Buffalopox Virus	Genome Announcements	2018	American Society for Microbiology	Afrough, Babak; Zafar, Afia; Hasan, Rumina; Hewson, Roger	https://doi.org/10.1128/genomea.00444-18	journal-article	false	long_context_genome	crossref
10.1128/genomea.00127-18	Complete Genome Sequence of EtG, the First Phage Sequenced from Erwinia tracheiphila	Genome Announcements	2018	American Society for Microbiology	Andrade-Domínguez, Andrés; Kolter, Roberto; Shapiro, Lori R.	https://doi.org/10.1128/genomea.00127-18	journal-article	false	long_context_genome	crossref
10.1128/genomea.01480-17	"Complete Genome Sequence of
            <i>Streptomyces</i>
            Bacteriophage Abt2graduatex2"	Genome Announcements	2018	American Society for Microbiology	Erill, Ivan; Caruso, Steven M.	https://doi.org/10.1128/genomea.01480-17	journal-article	false	long_context_genome	crossref
