relative_path	kind	file_type	size_bytes	mtime_ns	link_target	mode_octal
legume_family/legumeinfo/Apios/americana/LA2127.gnm1_hap2.ann1.NT2R/cds/apiam.LA2127.gnm1_hap2.ann1.NT2R.cds_primary.fna.gz	file	fasta	9295075	1780811962000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/americana/LA2127.gnm1_hap2.ann1.NT2R/functional_iprscan/apiam.LA2127.gnm1_hap2.ann1.NT2R.iprscan.gff3.gz	file	annotation	5662942	1780811963000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/americana/LA2127.gnm1_hap2.ann1.NT2R/gene_family/apiam.LA2127.gnm1_hap2.ann1.NT2R.legume.fam3.VLMQ.gfa.tsv.gz	file	other	373735	1780811961000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/americana/LA2127.gnm1_hap2.ann1.NT2R/gff3/apiam.LA2127.gnm1_hap2.ann1.NT2R.gene_models_main.gff3.gz	file	annotation	10202367	1780811966000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/americana/LA2127.gnm1_hap2.ann1.NT2R/mrna/apiam.LA2127.gnm1_hap2.ann1.NT2R.mrna.fna.gz	file	fasta	9932062	1780811967000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/americana/LA2127.gnm1_hap2.ann1.NT2R/mrna/apiam.LA2127.gnm1_hap2.ann1.NT2R.mrna_primary.fna.gz	file	fasta	9295077	1780811967000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/americana/LA2127.gnm1_hap2.ann1.NT2R/protein/apiam.LA2127.gnm1_hap2.ann1.NT2R.protein.faa.gz	file	other	5935664	1780811967000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/americana/LA2127.gnm1_hap2.ann1.NT2R/protein/apiam.LA2127.gnm1_hap2.ann1.NT2R.protein_primary.faa.gz	file	other	5718027	1780811967000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1.814V/genome/apipr.MO19963523.gnm1.814V.genome_main.fna.gz	file	fasta	473280708	1780812513000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1.814V/genome/apipr.MO19963523.gnm1.814V.genome_softmasked.fna.gz	file	fasta	516987205	1780812537000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1.ann1.P2VZ/bed/apipr.MO19963523.gnm1.ann1.P2VZ.gene_models_main.bed.gz	file	interval	382077	1780811970000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1.ann1.P2VZ/cds/apipr.MO19963523.gnm1.ann1.P2VZ.cds.fna.gz	file	fasta	10510566	1780811985000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1.ann1.P2VZ/cds/apipr.MO19963523.gnm1.ann1.P2VZ.cds_primary.fna.gz	file	fasta	9606006	1780811991000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1.ann1.P2VZ/functional_iprscan/apipr.MO19963523.gnm1.ann1.P2VZ.iprscan.gff3.gz	file	annotation	5774435	1780811988000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1.ann1.P2VZ/gene_family/apipr.MO19963523.gnm1.ann1.P2VZ.legume.fam3.VLMQ.gfa.tsv.gz	file	other	387697	1780811988000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1.ann1.P2VZ/gff3/apipr.MO19963523.gnm1.ann1.P2VZ.gene_models_main.gff3.gz	file	annotation	10564747	1780811986000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1.ann1.P2VZ/mrna/apipr.MO19963523.gnm1.ann1.P2VZ.mrna.fna.gz	file	fasta	10510558	1780811996000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1.ann1.P2VZ/mrna/apipr.MO19963523.gnm1.ann1.P2VZ.mrna_primary.fna.gz	file	fasta	9605934	1780811995000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1.ann1.P2VZ/protein/apipr.MO19963523.gnm1.ann1.P2VZ.protein.faa.gz	file	other	6227005	1780811996000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1.ann1.P2VZ/protein/apipr.MO19963523.gnm1.ann1.P2VZ.protein_primary.faa.gz	file	other	5918025	1780812004000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1_hap2.GPZQ/genome/apipr.MO19963523.gnm1_hap2.GPZQ.genome_main.fna.gz	file	fasta	469485435	1780813150000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1_hap2.GPZQ/genome/apipr.MO19963523.gnm1_hap2.GPZQ.genome_softmasked.fna.gz	file	fasta	512410744	1780813312000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1_hap2.ann1.PB8C/bed/apipr.MO19963523.gnm1_hap2.ann1.PB8C.gene_models_main.bed.gz	file	interval	385251	1780812009000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1_hap2.ann1.PB8C/cds/apipr.MO19963523.gnm1_hap2.ann1.PB8C.cds.fna.gz	file	fasta	10569784	1780812014000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1_hap2.ann1.PB8C/cds/apipr.MO19963523.gnm1_hap2.ann1.PB8C.cds_primary.fna.gz	file	fasta	9674829	1780812014000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1_hap2.ann1.PB8C/functional_iprscan/apipr.MO19963523.gnm1_hap2.ann1.PB8C.iprscan.gff3.gz	file	annotation	5827721	1780812023000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1_hap2.ann1.PB8C/gene_family/apipr.MO19963523.gnm1_hap2.ann1.PB8C.legume.fam3.VLMQ.gfa.tsv.gz	file	other	393093	1780812018000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1_hap2.ann1.PB8C/gff3/apipr.MO19963523.gnm1_hap2.ann1.PB8C.gene_models_main.gff3.gz	file	annotation	11439809	1780812025000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1_hap2.ann1.PB8C/mrna/apipr.MO19963523.gnm1_hap2.ann1.PB8C.mrna.fna.gz	file	fasta	10569886	1780812030000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1_hap2.ann1.PB8C/mrna/apipr.MO19963523.gnm1_hap2.ann1.PB8C.mrna_primary.fna.gz	file	fasta	9674819	1780812035000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1_hap2.ann1.PB8C/protein/apipr.MO19963523.gnm1_hap2.ann1.PB8C.protein.faa.gz	file	other	6267094	1780812034000000000		-rw-rw-r--
legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1_hap2.ann1.PB8C/protein/apipr.MO19963523.gnm1_hap2.ann1.PB8C.protein_primary.faa.gz	file	other	5951557	1780812036000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/cardenasii/K10017.gnm1.DQ4M/genome/araca.K10017.gnm1.DQ4M.genome_main.fna.gz	file	fasta	331284981	1780813130000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/duranensis/K30060.gnm1.W9B1/genome/aradu.K30060.gnm1.W9B1.genome_main.fna.gz	file	fasta	283779025	1780813120000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/duranensis/K30065.gnm1.M24N/genome/aradu.K30065.gnm1.M24N.genome_main.fna.gz	file	fasta	319256144	1780813124000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/duranensis/V14167.gnm1.SWBf/genome/aradu.V14167.gnm1.SWBf.genome_main.fna.gz	file	fasta	258571311	1780813324000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/duranensis/V14167.gnm1.ann1.cxSM/bed/aradu.V14167.gnm1.ann1.cxSM.gene_models_main.bed.gz	file	interval	634744	1780812402000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/duranensis/V14167.gnm1.ann1.cxSM/cds/aradu.V14167.gnm1.ann1.cxSM.cds.fna.gz	file	fasta	12133283	1780812399000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/duranensis/V14167.gnm1.ann1.cxSM/gene_family/aradu.V14167.gnm1.ann1.cxSM.legfed_v1_0.M65K.gfa.tsv.gz	file	other	555939	1780812412000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/duranensis/V14167.gnm1.ann1.cxSM/gene_family/aradu.V14167.gnm1.ann1.cxSM.legume.fam3.VLMQ.gfa.tsv.gz	file	other	951127	1780812413000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/duranensis/V14167.gnm1.ann1.cxSM/gff3/aradu.V14167.gnm1.ann1.cxSM.gene_models_main.gff3.gz	file	annotation	9726722	1780812409000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/duranensis/V14167.gnm1.ann1.cxSM/mrna/aradu.V14167.gnm1.ann1.cxSM.mrna.fna.gz	file	fasta	15900528	1780812443000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/duranensis/V14167.gnm1.ann1.cxSM/mrna/aradu.V14167.gnm1.ann1.cxSM.mrna_lowqual_or_TE.fna.gz	file	fasta	989114	1780812415000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/duranensis/V14167.gnm1.ann1.cxSM/protein/aradu.V14167.gnm1.ann1.cxSM.protein.faa.gz	file	other	10374486	1780812422000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/duranensis/V14167.gnm1.ann1.cxSM/protein/aradu.V14167.gnm1.ann1.cxSM.protein_lowqual_or_TE.faa.gz	file	other	503193	1780812423000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/duranensis/V14167.gnm2.J7QH/genome/aradu.V14167.gnm2.J7QH.genome_main.fna.gz	file	fasta	288574546	1780813281000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/BaileyII.gnm1.1JTF/genome/arahy.BaileyII.gnm1.1JTF.genome_main.fna.gz	file	fasta	667672203	1780813747000000000		-rw-rw-r--
