candidate_id	relative_path	source	annotation_role	is_primary_gene_model	assembly_key	paired_assembly_ids	size_bytes	mtime_ns
fbd90ed2b08ab4d3	legume_family/legumeinfo/Vigna/unguiculata/TZ30.gnm1.ann2.59NL/gff3/vigun.TZ30.gnm1.ann2.59NL.gene_models_main.gff3.gz	legume_family_legumeinfo	gene_models_main	true	legume_family_legumeinfo|Vigna|unguiculata|TZ30.gnm1	6e71dbe473d305ba	8528049	1780819261000000000
e5bfca63e94c02f6	legume_family/ncbi/Arachis_hypogaea/ASM371315v1/gff3/GCA_003713155.1_ASM371315v1_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Arachis_hypogaea|ASM371315v1	61500660d0e2a930	14420164	1780828069000000000
4a288d106490fa75	legume_family/ncbi/Arachis_hypogaea/ASM417044v1/gff3/GCA_004170445.1_ASM417044v1_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Arachis_hypogaea|ASM417044v1	ea29e5335685053a	18134903	1780828144000000000
3b50ef598e84e973	legume_family/ncbi/Arachis_hypogaea/HN51/gff3/GCA_039852515.1_HN51_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Arachis_hypogaea|HN51	4f2ba84ef83f10b4	10698166	1780829362000000000
10ae34c72cc532f7	legume_family/ncbi/Arachis_hypogaea/S83/gff3/GCA_039854485.1_S83_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Arachis_hypogaea|S83	a64c7ebfb8b73e90	10876222	1780829831000000000
76ce81d5f6e2468d	legume_family/ncbi/Cajanus_cajan/C.cajan_V1.1/gff3/GCF_000340665.2_C.cajan_V1.1_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Cajanus_cajan|C.cajan_V1.1	2e6270d00994b4eb	10465301	1780830838000000000
5f3f64696ff9ed46	legume_family/ncbi/Canavalia_gladiata/Cgla_1/gff3/GCA_037954105.1_Cgla_1_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Canavalia_gladiata|Cgla_1	602fdebe64673b64	8825520	1780830964000000000
151e3d790bdd4c4f	legume_family/ncbi/Cicer_arietinum/Cicar.CDCFrontier_v2.0/gff3/GCF_000331145.2_Cicar.CDCFrontier_v2.0_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Cicer_arietinum|Cicar.CDCFrontier_v2.0	80f28833ba23bc37	9134001	1780831181000000000
d894c8f4f0fc18eb	legume_family/ncbi/Glycine_max/Glycine_max_v2.0/gff3/GCF_000004515.4_Glycine_max_v2.0_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Glycine_max|Glycine_max_v2.0	91ea3a5d896e6648	17388960	1780832063000000000
de14d00d4c37d5ae	legume_family/ncbi/Glycine_max/Glycine_max_v2.1/gff3/GCF_000004515.5_Glycine_max_v2.1_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Glycine_max|Glycine_max_v2.1	18614e22cfd1167a	18543165	1780832137000000000
12ad7cf3b883f1eb	legume_family/ncbi/Glycine_max/GmaxFiskeby_v1.0/gff3/GCA_044510105.1_GmaxFiskeby_v1.0_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Glycine_max|GmaxFiskeby_v1.0	daaf35616f73e2f4	17704227	1780832281000000000
11dc390a96b3b1e7	legume_family/ncbi/Glycine_max/V1.0/gff3/GCF_000004515.1_V1.0_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Glycine_max|V1.0	738786ee98895b23	12016559	1780832822000000000
fa74ffb892f050ce	legume_family/ncbi/Glycine_max/V1.1/gff3/GCF_000004515.3_V1.1_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Glycine_max|V1.1	897c7e04cd83ff6e	16965311	1780832873000000000
af328a3133c80848	legume_family/ncbi/Glycine_max/WHFS_GmJY_1.0/gff3/GCA_014282095.1_WHFS_GmJY_1.0_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Glycine_max|WHFS_GmJY_1.0	473d96afd6793658	8952814	1780832990000000000
7b6c7bbce4056ac5	legume_family/ncbi/Glycine_max/WHFS_GmZH13_1.0/gff3/GCA_014282085.1_WHFS_GmZH13_1.0_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Glycine_max|WHFS_GmZH13_1.0	384c291022a64cb6	4741594	1780833099000000000
